numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray","ndarray","Array","ndarray","nd","Tensor","Tensor"
"numpy.ndarray.__abs__","__abs__","__abs__","__abs__","__abs__","__abs__","__abs__"
"numpy.ndarray.__add__","__add__","__add__","__add__","__add__","__add__","__add__"
"numpy.ndarray.__eq__","__eq__","__eq__","__eq__","__eq__","__eq__","__eq__"
"numpy.ndarray.__ge__","__ge__","__ge__","__ge__","__ge__","__ge__","__ge__"
"numpy.ndarray.__getitem__","__getitem__","__getitem__","__getitem__","__getitem__","__getitem__","__getitem__"
"numpy.ndarray.__gt__","__gt__","__gt__","__gt__","__gt__","__gt__","__gt__"
"numpy.ndarray.__le__","__le__","__le__","__le__","__le__","__le__","__le__"
"numpy.ndarray.__lt__","__lt__","__lt__","__lt__","__lt__","__lt__","__lt__"
"numpy.ndarray.__mod__","__mod__","__mod__","__mod__","__mod__","__mod__","__mod__"
"numpy.ndarray.__mul__","__mul__","__mul__","__mul__","__mul__","__mul__","__mul__"
"numpy.ndarray.__ne__","__ne__","__ne__","__ne__","__ne__","__ne__","__ne__"
"numpy.ndarray.__neg__","__neg__","__neg__","__neg__","__neg__","__neg__","__neg__"
"numpy.ndarray.__sub__","__sub__","__sub__","__sub__","__sub__","__sub__","__sub__"
"numpy.ndarray.__truediv__","__truediv__","__truediv__","__truediv__","__truediv__","__truediv__","__truediv__"
