name,numpy
"tf.argsort","numpy.argsort"
"tf.batch_to_space",""
"tf.bitcast",""
"tf.bitwise.bitwise_and","numpy.bitwise_and"
"tf.bitwise.bitwise_or","numpy.bitwise_or"
"tf.bitwise.bitwise_xor","numpy.bitwise_xor"
"tf.bitwise.invert","numpy.invert"
"tf.bitwise.left_shift","numpy.left_shift"
"tf.bitwise.right_shift","numpy.right_shift"
"tf.boolean_mask",""
"tf.broadcast_dynamic_shape",""
"tf.broadcast_static_shape",""
"tf.broadcast_to","numpy.broadcast_to"
"tf.case",""
"tf.cast",""
"tf.clip_by_global_norm",""
"tf.clip_by_norm",""
"tf.clip_by_value","numpy.clip"
"tf.concat","numpy.concatenate"
"tf.cond",""
"tf.constant",""
"tf.constant_initializer",""
"tf.control_dependencies",""
"tf.convert_to_tensor","numpy.asarray"
"tf.custom_gradient",""
"tf.debugging.assert_equal",""
"tf.debugging.assert_greater",""
"tf.debugging.assert_less",""
"tf.debugging.assert_rank",""
"tf.device",""
"tf.dtypes.as_dtype",""
"tf.dtypes.complex",""
"tf.dtypes.saturate_cast",""
"tf.dynamic_partition",""
"tf.dynamic_stitch",""
"tf.edit_distance",""
"tf.einsum","numpy.einsum"
"tf.ensure_shape",""
"tf.executing_eagerly",""
"tf.expand_dims","numpy.expand_dims"
"tf.extract_volume_patches",""
"tf.eye","numpy.eye"
"tf.fill","numpy.full"
"tf.fingerprint",""
"tf.foldl",""
"tf.foldr",""
"tf.function",""
"tf.gather",""
"tf.gather_nd",""
"tf.get_logger",""
"tf.get_static_value",""
"tf.grad_pass_through",""
"tf.gradients",""
"tf.graph_util.import_graph_def",""
"tf.group",""
"tf.guarantee_const",""
"tf.hessians",""
"tf.histogram_fixed_width","numpy.histogram"
"tf.histogram_fixed_width_bins",""
"tf.identity","numpy.copy"
"tf.identity_n",""
"tf.init_scope",""
"tf.inside_function",""
"tf.is_tensor",""
"tf.keras.initializers.Constant",""
"tf.keras.initializers.Constant",""
"tf.keras.initializers.GlorotNormal",""
"tf.keras.initializers.GlorotNormal",""
"tf.keras.initializers.GlorotUniform",""
"tf.keras.initializers.GlorotUniform",""
"tf.keras.initializers.HeNormal",""
"tf.keras.initializers.HeNormal",""
"tf.keras.initializers.HeUniform",""
"tf.keras.initializers.HeUniform",""
"tf.keras.initializers.Identity",""
"tf.keras.initializers.Identity",""
"tf.keras.initializers.Initializer",""
"tf.keras.initializers.LecunNormal",""
"tf.keras.initializers.LecunNormal",""
"tf.keras.initializers.LecunUniform",""
"tf.keras.initializers.LecunUniform",""
"tf.keras.initializers.Ones",""
"tf.keras.initializers.Ones",""
"tf.keras.initializers.Orthogonal",""
"tf.keras.initializers.Orthogonal",""
"tf.keras.initializers.RandomNormal",""
"tf.keras.initializers.RandomNormal",""
"tf.keras.initializers.RandomUniform",""
"tf.keras.initializers.RandomUniform",""
"tf.keras.initializers.TruncatedNormal",""
"tf.keras.initializers.TruncatedNormal",""
"tf.keras.initializers.VarianceScaling",""
"tf.keras.initializers.VarianceScaling",""
"tf.keras.initializers.Zeros",""
"tf.keras.initializers.Zeros",""
"tf.keras.initializers.deserialize",""
"tf.keras.initializers.get",""
"tf.linalg.LinearOperator",""
"tf.linalg.LinearOperatorAdjoint",""
"tf.linalg.LinearOperatorBlockDiag",""
"tf.linalg.LinearOperatorBlockLowerTriangular",""
"tf.linalg.LinearOperatorCirculant",""
"tf.linalg.LinearOperatorCirculant2D",""
"tf.linalg.LinearOperatorCirculant3D",""
"tf.linalg.LinearOperatorComposition",""
"tf.linalg.LinearOperatorDiag",""
"tf.linalg.LinearOperatorFullMatrix",""
"tf.linalg.LinearOperatorHouseholder",""
"tf.linalg.LinearOperatorIdentity",""
"tf.linalg.LinearOperatorInversion",""
"tf.linalg.LinearOperatorKronecker",""
"tf.linalg.LinearOperatorLowRankUpdate",""
"tf.linalg.LinearOperatorLowerTriangular",""
"tf.linalg.LinearOperatorPermutation",""
"tf.linalg.LinearOperatorScaledIdentity",""
"tf.linalg.LinearOperatorToeplitz",""
"tf.linalg.LinearOperatorTridiag",""
"tf.linalg.LinearOperatorZeros",""
"tf.linalg.adjoint",""
"tf.linalg.band_part",""
"tf.linalg.banded_triangular_solve",""
"tf.linalg.cholesky","numpy.linalg.cholesky"
"tf.linalg.cholesky_solve",""
"tf.linalg.cross","numpy.cross"
"tf.linalg.det","numpy.linalg.det"
"tf.linalg.diag","numpy.diag"
"tf.linalg.diag_part","numpy.diagonal"
"tf.linalg.eig","numpy.linalg.eig"
"tf.linalg.eigh","numpy.linalg.eigh"
"tf.linalg.eigvals","numpy.linalg.eigvals"
"tf.linalg.eigvalsh","numpy.linalg.eigvalsh"
"tf.linalg.experimental.conjugate_gradient",""
"tf.linalg.expm",""
"tf.linalg.global_norm",""
"tf.linalg.inv","numpy.linalg.inv"
"tf.linalg.logdet",""
"tf.linalg.logm",""
"tf.linalg.lstsq","numpy.linalg.lstsq"
"tf.linalg.lu",""
"tf.linalg.lu_matrix_inverse",""
"tf.linalg.lu_reconstruct",""
"tf.linalg.lu_solve",""
"tf.linalg.matmul","numpy.matmul"
"tf.linalg.matrix_rank","numpy.linalg.matrix_rank"
"tf.linalg.matrix_transpose",""
"tf.linalg.matvec",""
"tf.linalg.normalize",""
"tf.linalg.pinv","numpy.linalg.pinv"
"tf.linalg.qr","numpy.linalg.qr"
"tf.linalg.set_diag","numpy.fill_diagonal"
"tf.linalg.slogdet","numpy.linalg.slodget"
"tf.linalg.solve","numpy.linalg.solve"
"tf.linalg.sqrtm",""
"tf.linalg.svd","numpy.linalg.svd"
"tf.linalg.tensor_diag","numpy.diagflat"
"tf.linalg.tensor_diag_part",""
"tf.linalg.trace","numpy.trace"
"tf.linalg.triangular_solve",""
"tf.linalg.tridiagonal_matmul",""
"tf.linalg.tridiagonal_solve",""
"tf.linspace","numpy.linspace"
"tf.load_library",""
"tf.load_op_library",""
"tf.make_ndarray","numpy.array"
"tf.make_tensor_proto",""
"tf.map_fn",""
"tf.math.abs","numpy.absolute"
"tf.math.accumulate_n","numpy.sum"
"tf.math.acos","numpy.arccos"
"tf.math.acosh","numpy.arccosh"
"tf.math.add","numpy.add"
"tf.math.add_n","numpy.add"
"tf.math.angle","numpy.angle"
"tf.math.argmax","numpy.argmax"
"tf.math.argmin","numpy.argmin"
"tf.math.asin","numpy.arcsin"
"tf.math.asinh","numpy.arcsinh"
"tf.math.atan","numpy.arctan"
"tf.math.atan2","numpy.arctan2"
"tf.math.atanh","numpy.arctanh"
"tf.math.bessel_i0","numpy.i0"
"tf.math.bessel_i0e",""
"tf.math.bessel_i1",""
"tf.math.bessel_i1e",""
"tf.math.betainc",""
"tf.math.bincount","numpy.bincount"
"tf.math.ceil","numpy.ceil"
"tf.math.confusion_matrix",""
"tf.math.conj","numpy.conj"
"tf.math.cos","numpy.cos"
"tf.math.cosh","numpy.cosh"
"tf.math.count_nonzero","numpy.count_nonzero"
"tf.math.cumprod","numpy.cumprod"
"tf.math.cumsum","numpy.cumsum"
"tf.math.cumulative_logsumexp",""
"tf.math.digamma",""
"tf.math.divide","numpy.divide"
"tf.math.divide_no_nan",""
"tf.math.equal","numpy.equal"
"tf.math.erf",""
"tf.math.erfc",""
"tf.math.erfcinv",""
"tf.math.erfinv",""
"tf.math.exp","numpy.exp"
"tf.math.expm1","numpy.expm1"
"tf.math.floor","numpy.floor"
"tf.math.floordiv","numpy.floor_divide"
"tf.math.floormod","numpy.mod"
"tf.math.greater","numpy.greater"
"tf.math.greater_equal","numpy.greater_equal"
"tf.math.igamma",""
"tf.math.igammac",""
"tf.math.imag","numpy.imag"
"tf.math.in_top_k",""
"tf.math.invert_permutation",""
"tf.math.is_finite","numpy.isfinite"
"tf.math.is_inf","numpy.isinf"
"tf.math.is_nan","numpy.isnan"
"tf.math.is_non_decreasing",""
"tf.math.is_strictly_increasing",""
"tf.math.l2_normalize",""
"tf.math.lbeta",""
"tf.math.less","numpy.less"
"tf.math.less_equal","numpy.less_equal"
"tf.math.lgamma",""
"tf.math.log","numpy.log"
"tf.math.log1p","numpy.log1p"
"tf.math.log_sigmoid",""
"tf.math.logical_and","numpy.logical_and"
"tf.math.logical_not","numpy.logical_not"
"tf.math.logical_or","numpy.logical_or"
"tf.math.logical_xor","numpy.logical_xor"
"tf.math.maximum","numpy.maximum"
"tf.math.minimum","numpy.minimum"
